"SDG Goal","SDG Target","Business Theme","Type of Indicator","Indicator Source","Indicator Description","Indicator ID","Date"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime ","Protection of privacy","General","GRI Sustainability Reporting Standards","Total number of substantiated complaints received concerning breaches of customer privacy, categorized by: i. Complaints received from outside parties and substantiated by the organization;ii. Complaints from regulatory bodies.","GRI Standard 418-1","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime ","Protection of privacy","General","GRI Sustainability Reporting Standards","Total number of identified leaks, thefts, or losses of customer data.","GRI Standard 418-1","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all","Compliance with laws and regulations","General","GRI Sustainability Reporting Standards","Significant fines and non-monetary sanctions for non-compliance with laws and/or regulations in the social and economic area in terms of:i. Total monetary value of significant fines;ii. Total number of non-monetary sanctions;iii. Cases brought through dispute resolution mechanism","GRI Standard 419-1","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","The 10th Principle Against Corruption","Publicly stated commitment to work against corruption in all its forms, including bribery and extortion.","B.1","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","The 10th Principle Against Corruption","Commitment to be in compliance with all relevant laws, including anti-corruption laws.","B.2","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","The 10th Principle Against Corruption","Translation of the anti-corruption commitment into actions.","B.3","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","The 10th Principle Against Corruption","Support by the organization's leadership for anti-corruption.","B.4","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","The 10th Principle Against Corruption","Communication and training on the anti-corruption commitment for all employees.","B.5","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","The 10th Principle Against Corruption","Internal checks and balances to ensure consistency with the anti-corruption commitment.","B.6","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","The 10th Principle Against Corruption","Monitoring and improvement process.","B.7","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.6 Develop effective, accountable and transparent institutions at all levels","Effective, accountable and transparent governance","General","UNCTAD proposed core SDGs reporting ","Number of board meetings and attendance rate.","D.1.1","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.7 Ensure responsive, inclusive, participatory and representative decision-making at all levels ","Inclusive decision making","General","UNCTAD proposed core SDGs reporting ","Board members by age range","D.1.3","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.6 Develop effective, accountable and transparent institutions at all levels","Effective, accountable and transparent governance","General","UNCTAD proposed core SDGs reporting ","Existence of audit committee, number of meetings and attendance rate.","D.1.4","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.6 Develop effective, accountable and transparent institutions at all levels","Effective, accountable and transparent governance","General","UNCTAD proposed core SDGs reporting ","Compensation total and compensation per board member and executive","D.1.5","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","UNCTAD proposed core SDGs reporting ","Anti-corruption (number of convictions for violations of corruption-related legislation or regulation and amount of fines paid or payable)","D.3","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2 End abuse, exploitation, trafficking and all forms of violence against and torture of children","Abolition of child labor","General","World Bank WDI","Average working hours of children, working only, ages 7-14, female and male","N/A","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2 End abuse, exploitation, trafficking and all forms of violence against and torture of children","Abolition of child labor","General","World Bank WDI","Child employment (age 7-14)• In sectors of agriculture, manufacturing, services, • In employment as unpaid family workers, wage workers, self-employed, study and work, work only,• In employment","N/A","2017"
"16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.5 Substantially reduce corruption and bribery in all their forms","Anti-corruption","General","World Bank WDI","Bribery incidence ","N/A","2017"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Capacity building","17.9 Enhance international support for implementing effective and targeted capacity-building in developing countries to support national plans to implement all the sustainable development goals, including through North-South, South-South and triangular cooperation","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Capacity building","17.3 Mobilize additional financial resources for developing countries from multiple sources ","Economic value","General","GRI Sustainability Reporting Standards","Significant indirect economic impacts","GRI Standards 203-2","2017"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Finance","17.1 Strengthen domestic resource mobilization, including through international support to developing countries, to improve domestic capacity for tax and other revenue collection","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Finance","17.2 Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of ODA/GNI to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Finance","17.4 Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Finance","17.5 Adopt and implement investment promotion regimes for least developed countries","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Finance","17.3 Mobilize additional financial resources for developing countries from multiple sources","Foreign direct investment","General","GRI G4 Sustainability Reporting Guidelines","Significant indirect economic impacts, including the extent of impacts","G4-EC8","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Data, monitoring and accountability ","17.18 By 2020, enhance capacity-building support to developing countries, including for least developed countries and small island developing States, to increase significantly the availability of high-quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Data, monitoring and accountability ","17.19 By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Multi-stakeholder partnerships","17.17 Encourage and promote effective public, public-private and civil society partnerships, building on the experience and resourcing strategies of partnerships","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Multi-stakeholder partnerships","17.16 Enhance the global partnership for sustainable development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the sustainable development goals in all countries, in particular developing countries","Partnerships","Sector-specific","Access to Medicine Index","R&amp;D partnerships in which the company has been involved, with the aim of developing products or formulations for Index Diseases specifically targeting access issues in Index countries (adjusted for the number of molecules in the company's research pipeline).","C.III.4","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Multi-stakeholder partnerships","17.16 Enhance the global partnership for sustainable development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the sustainable development goals in all countries, in particular developing countries","Partnerships","Sector-specific","Access to Medicine Index","The company commits to work with relevant stakeholders, including universities, patient groups, local governments, employees, local and international NGOs and peers with the aim of improving access to medicine.","A.I.2","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Policy and institutional coherence","17.13 Enhance global macroeconomic stability, including through policy coordination and policy coherence","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Policy and institutional coherence","17.14 Enhance policy coherence for sustainable development","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Systemic issues: Policy and institutional coherence","17.15 Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Technology","17.6 Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Technology","17.8 Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Technology","17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed","Environmental investments","Sector-specific","GRI G4 Event Organizers Sector Disclosures","Number, type and impact of physical and technological legacies","EO13","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Technology","17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed","Environmental investments","Sector-specific","GRI G4 Mining and Metals Sector Disclosures","Programs and progress relating to materials stewardship","former MM11","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Technology","17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed","Environmental investments","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Research and development activity and expenditure aimed at providing reliable electricity and promoting sustainable development","former EU8","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Technology","17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed","Environmental investments","Sector-specific","GRI G4 Oil and Gas Sector Disclosures","Total amount invested in renewable energy","OG2","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Technology","17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed","Environmental investments","General","GRI G4 Sustainability Reporting Guidelines","Total environmental protection expenditures and investments by type","G4-EN31","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Trade","17.10 Promote a universal, rules-based, open, non-discriminatory and equitable multilateral trading system under the World Trade Organization, including through the conclusion of negotiations under its Doha Development Agenda","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Trade","17.11 Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries' share of global exports by 2020","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"17. Strengthen the means of implementation and revitalize the global partnership for sustainable development: Trade","17.12 Realize timely implementation of duty-free and quota-free market access on a lasting basis for all least developed countries, consistent with World Trade Organization decisions, including by ensuring that preferential rules of origin applicable to imports from least developed countries are transparent and simple, and contribute to facilitating market access","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Physical and economic displacement","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Approach to managing the impacts of displacement","former EU20","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","Infrastructure investments","General","GRI G4 Sustainability Reporting Guidelines","Development and impact of infrastructure investments and services supported","G4-EC7","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries","Infrastructure investments","General","GRI G4 Sustainability Reporting Guidelines","Direct economic value generated and distributed","G4-EC1","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","General","UN Global Compact-Oxfam Poverty Footprint","i) Approximate proportion of rural farming households interviewed with sustained access to land , including land commons, where relevant. (disaggregate data by households headed by m/w). ii) General trend in recent years (increasing, decreasing, stable). iii) Approximate proportions of smallholders (m/w) in the value chain that have secured legal titles to land.(If community livelihoods rely on forest, marshes, grassland or water (for fishing), provide the data on the legal access to these resources)","PF - 16.5","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.c Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility","Food prices","General","UN Global Compact-Oxfam Poverty Footprint","Measure of incurred price fluctuations and inflation (i.e. changes in housing and locally-available food prices) ","PF - 14.5","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Healthy and affordable food","Sector-specific","GRI G4 Food Processing Sector Disclosures","Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer initiatives, knowledge transfer, partnerships and product development) that promote access to healthy lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and improved welfare for communities in need","former FP4","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Healthy and affordable food","Sector-specific","GRI G4 Food Processing Sector Disclosures","Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer initiatives, knowledge transfer, partnerships and product development) that promote access to healthy lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and improved welfare for communities in need","former FP4","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","No indicators have been identified","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","Sector-specific","GRI G4 Mining and Metals Sector Disclosures","Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM) takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and mitigate these risks","MM8","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","Sector-specific","GRI G4 Mining and Metals Sector Disclosures","Number and description of significant disputes relating to land use, customary rights of local communities and indigenous peoples ","MM6","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","Sector-specific","GRI G4 Oil and Gas Sector Disclosures","Number and description of significant disputes with local communities and indigenous peoples ","OG10","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Physical and economic displacement","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Number of people physically or economically displaced and compensation, broken down by type of project","EU22","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Physical and economic displacement","Sector-specific","GRI G4 Airport Operators Sector Disclosures","Number of persons physically or economically displaced, either voluntary or involuntary, by the airport operator or on its behalf by a governmental or other entity, and compensation provided","AO8","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Physical and economic displacement","Sector-specific","GRI G4 Construction and Real Estate Sector Disclosures","Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down by project","CRE7","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","Sector-specific","GRI G4 Oil and Gas Sector Disclosures","Number sites that have been decommissioned and sites that are in the process of being decommissioned","OG11","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","Sector-specific","GRI G4 Oil and Gas Sector Disclosures","Operations where indigenous communities are present or affected by activities and where specific engagement strategies are in place ","OG9","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Physical and economic displacement","Sector-specific","GRI G4 Oil and Gas Sector Disclosures","Operations where involuntary resettlement took place, the number of households resettled in each and how their livelihoods were affected in the process","OG12","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","General","GRI G4 Sustainability Reporting Guidelines","Operations with significant actual and potential negative impacts on local communities","G4-SO2","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5 By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","Genetic diversity of farmed and domesticated animals","Sector-specific","GRI G4 Food Processing Sector Disclosures","Percentage and total of animals raised and/or processed, by species and breed type","FP9","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Food safety","Sector-specific","GRI G4 Food Processing Sector Disclosures","Percentage of production volume manufactured in sites certified by an independent third party according to internationally recognized food safety management system standards","FP5","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Sustainable sourcing","Sector-specific","GRI G4 Food Processing Sector Disclosures","Percentage of purchased volume which is verified as being in accordance with credible, internationally recognized responsible production standards, broken down by standard","FP2","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Healthy and affordable food","Sector-specific","GRI G4 Food Processing Sector Disclosures","Percentage of total sales volume of consumer products, by product category, that are lowered in saturated fat, trans fats, sodium and added sugars","FP6","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Healthy and affordable food","Sector-specific","GRI G4 Food Processing Sector Disclosures","Percentage of total sales volume of consumer products, by product category, that are lowered in saturated fat, trans fats, sodium and added sugars","FP6","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Healthy and affordable food","Sector-specific","GRI G4 Food Processing Sector Disclosures","Percentage of total sales volume of consumer products, by product category, that contain increased nutritious ingredients like fiber, vitamins, minerals, phytochemicals or functional food additives","FP7","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons","Healthy and affordable food","Sector-specific","GRI G4 Food Processing Sector Disclosures","Percentage of total sales volume of consumer products, by product category, that contain increased nutritious ingredients like fiber, vitamins, minerals, phytochemicals or functional food additives","FP7","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Food safety","Sector-specific","GRI G4 Food Processing Sector Disclosures","Policies and practices on antibiotic, anti-inflammatory, hormone, and/or growth promotion treatments","FP12","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","Food labeling","Sector-specific","GRI G4 Food Processing Sector Disclosures","Policies and practices on communication to consumers about ingredients and nutritional information beyond legal requirements","former FP8","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Changing the productivity of organizations, sectors, or the whole economy","General","GRI G4 Sustainability Reporting Guidelines","Significant indirect economic impacts, including the extent of impacts","G4-EC8","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Physical and economic displacement","Sector-specific","GRI G4 Mining and Metals Sector Disclosures","Sites where resettlements took place, the number of households resettled in each, and how their livelihoods were affected in the process","MM9","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Physical and economic displacement","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Stakeholder participation in decision making processes related to energy planning and infrastructure development","former EU19","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","Sector-specific","GRI G4 Mining and Metals Sector Disclosures","The extent to which grievance mechanisms were used to resolve disputes relating to land use, customary rights of local communities and indigenous peoples, and the outcomes ","MM7","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Indigenous rights","General","GRI G4 Sustainability Reporting Guidelines","Total number of incidents of violations involving rights of indigenous peoples and actions taken","G4-HR8","2015"
"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Access to land","Sector-specific","GRI G4 Mining and Metals Sector Disclosures","Total number of operations taking place in or adjacent to indigenous peoples' territories, and number and percentage of operations or sites where there are formal agreements with indigenous peoples' communities ","MM5","2015"
